VFD,skip,N,data size [byte],latency (write) [s],latency (read) [s],bandwidth (write) [byte/s],bandwidth (read) [byte/s],filename
gds-compat,false,16777216,6.039798e+08,3.013462e+00,5.524577e-02,2.004272e+08,1.093260e+10,./dat/ae9f78b3-dbcc-4c9b-944e-d89ddae4105a.nc
gds-compat,false,33554432,1.207960e+09,3.714005e+00,9.624488e-02,3.252444e+08,1.255090e+10,./dat/c4509d18-e3f7-4f38-9275-0618217946d2.nc
gds-compat,false,67108864,2.415919e+09,6.418135e+00,1.736638e-01,3.764207e+08,1.391147e+10,./dat/1bb3422c-ff0b-459a-80b4-50d98cbd4352.nc
gds-compat,false,134217728,4.831838e+09,1.321007e+01,3.625799e-01,3.657693e+08,1.332627e+10,./dat/ec059600-6243-4762-8143-ebca882d552c.nc
sec2,false,1024,3.686400e+04,2.573830e-03,1.252867e-03,1.432262e+07,2.942371e+07,./dat/0c8098a1-02c7-421a-bf86-efd1cc9bd6ee.nc
sec2,false,2048,7.372800e+04,2.538823e-03,1.284099e-03,2.904023e+07,5.741613e+07,./dat/f2e3d2d5-1e70-437d-aa19-a96cc441d4c7.nc
sec2,false,4096,1.474560e+05,2.606887e-03,1.324227e-03,5.656402e+07,1.113525e+08,./dat/5d9470e2-299b-49e2-b1bc-e9cb013e8036.nc
sec2,false,8192,2.949120e+05,2.739846e-03,1.343684e-03,1.076382e+08,2.194802e+08,./dat/4a1ca9c5-b466-4d69-976d-58ca90688104.nc
sec2,false,16384,5.898240e+05,3.420424e-03,1.426436e-03,1.724418e+08,4.134949e+08,./dat/eed5b399-7371-4ec4-89fc-e704144dd1a8.nc
sec2,false,32768,1.179648e+06,5.967567e-03,1.573156e-03,1.976765e+08,7.498608e+08,./dat/11cfb0af-dbd2-4213-9a93-36bc908868f2.nc
sec2,false,65536,2.359296e+06,8.906838e-03,1.922852e-03,2.648859e+08,1.226977e+09,./dat/8429edea-4fc4-406f-9f05-78359def3a8b.nc
sec2,false,131072,4.718592e+06,1.816113e-02,2.378662e-03,2.598182e+08,1.983717e+09,./dat/3e7f1057-90cd-4749-ac12-be2e43e673cf.nc
sec2,false,262144,9.437184e+06,3.417909e-02,2.828137e-03,2.761099e+08,3.336891e+09,./dat/69135d88-2706-446b-9bc4-4544aae4d54a.nc
sec2,false,524288,1.887437e+07,7.446385e-02,3.759052e-03,2.534702e+08,5.021045e+09,./dat/c61e12eb-7285-4d32-ae67-5cdd7b48f9a1.nc
sec2,false,1048576,3.774874e+07,1.427255e-01,5.075376e-03,2.644848e+08,7.437624e+09,./dat/4413fc89-4de6-4a20-8fe8-667237a9f97b.nc
sec2,false,2097152,7.549747e+07,2.788291e-01,8.404762e-03,2.707661e+08,8.982702e+09,./dat/94afd39c-f4b5-4634-b842-d56223a6fb81.nc
sec2,false,4194304,1.509949e+08,5.601753e-01,1.524565e-02,2.695495e+08,9.904134e+09,./dat/cb84c978-111b-4203-884e-8d576209fdc0.nc
sec2,false,8388608,3.019899e+08,1.127766e+00,2.825331e-02,2.677771e+08,1.068866e+10,./dat/f7311fad-74bc-4225-9620-2936e023d4b4.nc
sec2,false,16777216,6.039798e+08,2.326405e+00,5.390049e-02,2.596194e+08,1.120546e+10,./dat/997ed1c8-354f-4e3c-9854-c6ea864f65a5.nc
sec2,false,33554432,1.207960e+09,2.599787e+00,9.334609e-02,4.646380e+08,1.294066e+10,./dat/33074ffb-7017-4613-8434-76e4a8ea7c1e.nc
sec2,false,67108864,2.415919e+09,3.320438e+00,1.730056e-01,7.275905e+08,1.396440e+10,./dat/5bc745d4-b4e3-4996-9633-318a0b2d9828.nc
sec2,false,134217728,4.831838e+09,1.024597e+01,3.570133e-01,4.715842e+08,1.353406e+10,./dat/69062136-7c8a-4bd2-bf56-7a49ece6dfe5.nc
direct,false,1024,3.686400e+04,4.225386e-03,2.876743e-03,8.724410e+06,1.281449e+07,./dat/5e211157-9db9-4bc6-8888-0bfa0517e53f.nc
direct,false,2048,7.372800e+04,4.124362e-03,2.964871e-03,1.787622e+07,2.486719e+07,./dat/b46817a2-b42a-46f0-836c-ba07e252a7dc.nc
direct,false,4096,1.474560e+05,4.102155e-03,4.014282e-03,3.594598e+07,3.673285e+07,./dat/617c5813-d261-46a9-a506-d853a9ef253b.nc
direct,false,8192,2.949120e+05,4.429354e-03,4.644716e-03,6.658127e+07,6.349409e+07,./dat/243efb19-6214-4798-bad4-2c93730fda60.nc
direct,false,16384,5.898240e+05,5.175885e-03,4.787436e-03,1.139562e+08,1.232025e+08,./dat/c9ac9320-74ba-41c1-b05d-7ca1d86aa26c.nc
direct,false,32768,1.179648e+06,7.272850e-03,5.947087e-03,1.621989e+08,1.983573e+08,./dat/a142f589-5f2d-4630-b38b-4ce2e2a92b42.nc
direct,false,65536,2.359296e+06,1.125107e-02,7.173681e-03,2.096953e+08,3.288822e+08,./dat/96317f0e-0986-40e1-9c18-9777f4c1b742.nc
direct,false,131072,4.718592e+06,2.031781e-02,8.887701e-03,2.322392e+08,5.309125e+08,./dat/5f62741b-124d-4fd2-b134-abe660422d29.nc
direct,false,262144,9.437184e+06,3.995917e-02,1.034374e-02,2.361707e+08,9.123573e+08,./dat/7d795ae4-2018-494f-8933-40d83b420ca8.nc
direct,false,524288,1.887437e+07,7.527666e-02,1.369075e-02,2.507333e+08,1.378622e+09,./dat/3e4835d6-9599-44b5-b816-15c1d9e50773.nc
direct,false,1048576,3.774874e+07,1.574068e-01,1.948222e-02,2.398165e+08,1.937599e+09,./dat/256d19f5-064c-4825-b5f7-4ec2340c4380.nc
direct,false,2097152,7.549747e+07,3.126470e-01,3.098017e-02,2.414783e+08,2.436961e+09,./dat/eefe441b-ded7-4d04-b7ff-779c6564c4b4.nc
direct,false,4194304,1.509949e+08,6.121614e-01,5.432160e-02,2.466587e+08,2.779648e+09,./dat/fc70553b-4858-4345-99f0-ea536ea34676.nc
direct,false,8388608,3.019899e+08,1.250201e+00,1.013495e-01,2.415531e+08,2.979688e+09,./dat/2ae87a3b-b995-4c1f-917c-b4ddccc8b723.nc
direct,false,16777216,6.039798e+08,2.423191e+00,1.944709e-01,2.492497e+08,3.105760e+09,./dat/9764a9af-d569-4384-8563-bddf59df9d4a.nc
direct,false,33554432,1.207960e+09,5.090490e+00,4.646764e-01,2.372973e+08,2.599571e+09,./dat/44a83842-3104-4150-bbc4-8468c2d8c985.nc
direct,false,67108864,2.415919e+09,4.004399e+00,7.293229e-01,6.033162e+08,3.312551e+09,./dat/70fe6280-1617-413b-9e53-4eb9d7c5c3be.nc
direct,false,134217728,4.831838e+09,1.188730e+01,1.504923e+00,4.064706e+08,3.210689e+09,./dat/345e80a9-012a-4d7b-8959-ecc03de56ac1.nc
